*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=F_Interface_AL_Hardware_v0.02
*Date=11:37:08
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
227;;;15.3209;-6.0952;90;Bottom;TXT41
228;;;44.8298;-5.87193;-90;Bottom;IMG2
229;;;1.77524;-50.5258;0;Bottom;TXT41
230;;;96.9654;-16.3612;0;Bottom;IMG2
231;;;73.6019;-23.7875;0;Bottom;TXT41
232;10k;THT;11.8707;-29.178;0;Bottom;R88
233;;;82.2399;-2.29691;-90;Bottom;TXT41
234;;;12.876;-64.6055;0;Bottom;IMG2
235;;;69.0319;-33.9435;0;Bottom;TXT41
236;;;0.552299;-18.321;90;Bottom;TXT41
237;10k;THT;88.8852;-21.6046;45;Bottom;R82
238;;THT;90.6361;-4.29619;-90;Bottom;RS4
239;;;46.1708;-19.5718;0;Bottom;Via7
240;;THT;60.147;-57.5244;-90;Bottom;Wheel in
241;;;97.1663;-25.2197;0;Bottom;TXT41
242;;;89.741;-67.3976;180;Bottom;TXT41
243;;;31.9976;-46.9733;0;Bottom;Via16
244;;;4.8797;-50.6198;0;Bottom;IMG2
245;10k;THT;10.7801;-13.6578;-45;Bottom;R75
246;;;94.4382;-27.8225;0;Bottom;IMG2
247;;;41.1797;-44.8374;0;Bottom;TXT41
248;;;96.9908;-21.4412;0;Bottom;IMG2
249;;;84.6035;-59.5412;0;Bottom;Via8
250;10k;THT;10.7895;-18.7471;135;Bottom;R78
251;;;61.35;-66.0367;-90;Bottom;TXT41
252;;;59.0603;-66.0206;-90;Bottom;TXT41
253;;;2.73393;-41.741;0;Bottom;TXT41
254;;;23.7972;-6.5082;0;Bottom;TXT41
255;;;65.0317;-55.3825;90;Bottom;TXT41
256;;;29.3045;-40.0961;-90;Bottom;TXT41
257;10k;THT;88.8852;-19.0646;45;Bottom;R81
258;;;56.1142;-65.9664;-90;Bottom;TXT41
259;100;THT;80.1586;-65.8912;180;Bottom;R69
260;;;40.1535;-60.1762;0;Bottom;Via10
261;;;4.91106;-44.2855;0;Bottom;IMG2
262;;THT;49.93;-5.87099;-90;Bottom;J11
263;;;52.8535;-60.1762;0;Bottom;Via15
264;;;10.3438;-50.3337;45;Bottom;TXT41
265;;THT;96.9861;-17.6312;0;Bottom;J10
266;;THT;96.9861;-57.6362;0;Bottom;J9
267;;;17.0008;-65.7081;-90;Bottom;TXT41
268;;;25.8559;-57.6819;0;Bottom;Via21
269;;;87.5747;-29.2307;0;Bottom;TXT41
270;;;27.0655;-8.55304;90;Bottom;TXT41
271;10k;THT;37.6669;-5.05311;90;Bottom;R86
272;;;21.1929;-6.52833;0;Bottom;TXT41
273;;THT;77.8243;-26.6482;0;Bottom;POWER
274;;cap-pth-5mm;17.9686;-64.6212;180;Bottom;C14
275;;;60.3439;-17.2096;0;Bottom;Via11
276;;;2.08886;-26.976;0;Bottom;TXT41
277;;;88.696;-13.9974;45;Bottom;TXT41
278;;;0.364147;-60.6858;90;Bottom;TXT41
279;;;96.9654;-56.4054;0;Bottom;IMG2
280;;;88.7945;-21.4978;45;Bottom;TXT41
281;;;92.5156;-67.4603;180;Bottom;TXT41
282;10k;THT;79.8411;-7.15369;180;Bottom;R92
283;;;55.0055;-5.85922;-90;Bottom;IMG2
284;;;39.7908;-5.60865;90;Bottom;TXT41
285;;;73.9939;-21.182;0;Bottom;TXT41
286;10k;THT;62.3786;-5.24869;90;Bottom;R87
287;;;73.5669;-18.6643;0;Bottom;TXT41
288;;THT;94.4461;-31.6012;0;Bottom;APM_R
289;;;88.2653;-1.6386;-90;Bottom;TXT41
290;;;60.993;-41.0052;0;Bottom;TXT42
291;;;10.3923;-66.66;180;Bottom;TXT41
292;;;79.0226;-44.8373;0;Bottom;TXT41
293;;;60.0507;-5.24487;90;Bottom;TXT41
294;;;38.9936;-66.905;-90;Bottom;TXT41
295;;THT;28.0606;-47.4457;75;Bottom;SUH+
296;;;99.2359;-18.9482;-90;Bottom;TXT41
297;;;11.9666;-26.7;0;Bottom;TXT41
298;10k;THT;10.4626;-50.4971;45;Bottom;R51
299;;;26.5716;-53.0312;-15;Bottom;TXT41
300;;;43.8953;-57.8667;-15;Bottom;TXT41
301;100;THT;15.3886;-6.20119;-90;Bottom;R68
